v,omega,x,y,phi,xr,yr,phir,delta
0.0000,0.0000,0.0000,0.1000,0.1171,0.1000,0.0100,0.0997,-0.0420
-0.0473,-0.0321,0.0993,0.1117,0.1171,0.1000,0.0100,0.0997,-0.0397
-0.0709,-0.0494,0.1987,0.1224,0.1165,0.1000,0.0100,0.0997,-0.0375
-0.0814,-0.0580,0.2982,0.1326,0.1155,0.1000,0.0100,0.0997,-0.0353
-0.0848,-0.0614,0.3977,0.1426,0.1143,0.1000,0.0100,0.0997,-0.0332
-0.0844,-0.0617,0.4973,0.1523,0.1131,0.1000,0.0100,0.0997,-0.0312
-0.0819,-0.0604,0.5968,0.1619,0.1119,0.1000,0.0100,0.0997,-0.0293
-0.0784,-0.0581,0.6964,0.1714,0.1107,0.1000,0.0100,0.0997,-0.0275
-0.0744,-0.0554,0.7960,0.1809,0.1095,0.1000,0.0100,0.0997,-0.0257
-0.0702,-0.0524,0.8955,0.1904,0.1084,0.1000,0.0100,0.0997,-0.0241
-0.0660,-0.0494,0.9951,0.1998,0.1073,0.1000,0.0100,0.0997,-0.0225
-0.0618,-0.0463,1.0947,0.2092,0.1064,0.1000,0.0100,0.0997,-0.0209
-0.0578,-0.0434,1.1942,0.2186,0.1054,0.1000,0.0100,0.0997,-0.0195
-0.0540,-0.0405,1.2938,0.2279,0.1046,0.1000,0.0100,0.0997,-0.0181
-0.0502,-0.0377,1.3934,0.2373,0.1038,0.1000,0.0100,0.0997,-0.0167
-0.0467,-0.0351,1.4929,0.2467,0.1030,0.1000,0.0100,0.0997,-0.0155
-0.0433,-0.0325,1.5925,0.2560,0.1023,0.1000,0.0100,0.0997,-0.0143
-0.0400,-0.0301,1.6921,0.2654,0.1016,0.1000,0.0100,0.0997,-0.0131
-0.0369,-0.0278,1.7916,0.2747,0.1010,0.1000,0.0100,0.0997,-0.0120
-0.0340,-0.0256,1.8912,0.2841,0.1005,0.1000,0.0100,0.0997,-0.0110
-0.0312,-0.0235,1.9907,0.2934,0.1000,0.1000,0.0100,0.0997,-0.0100
-0.0285,-0.0215,2.0903,0.3028,0.0995,0.1000,0.0100,0.0997,-0.0091
-0.0260,-0.0196,2.1899,0.3121,0.0991,0.1000,0.0100,0.0997,-0.0082
-0.0236,-0.0178,2.2894,0.3215,0.0987,0.1000,0.0100,0.0997,-0.0073
-0.0213,-0.0161,2.3890,0.3309,0.0983,0.1000,0.0100,0.0997,-0.0065
-0.0192,-0.0145,2.4885,0.3403,0.0980,0.1000,0.0100,0.0997,-0.0058
-0.0172,-0.0130,2.5881,0.3497,0.0977,0.1000,0.0100,0.0997,-0.0051
-0.0153,-0.0116,2.6877,0.3591,0.0975,0.1000,0.0100,0.0997,-0.0044
-0.0135,-0.0102,2.7872,0.3685,0.0972,0.1000,0.0100,0.0997,-0.0038
-0.0118,-0.0090,2.8868,0.3780,0.0970,0.1000,0.0100,0.0997,-0.0033
-0.0102,-0.0078,2.9863,0.3874,0.0968,0.1000,0.0100,0.0997,-0.0027
-0.0087,-0.0067,3.0859,0.3969,0.0967,0.1000,0.0100,0.0997,-0.0022
-0.0073,-0.0056,3.1854,0.4064,0.0966,0.1000,0.0100,0.0997,-0.0018
-0.0061,-0.0047,3.2850,0.4159,0.0964,0.1000,0.0100,0.0997,-0.0014
-0.0049,-0.0038,3.3845,0.4254,0.0963,0.1000,0.0100,0.0997,-0.0010
-0.0038,-0.0030,3.4841,0.4349,0.0963,0.1000,0.0100,0.0997,-0.0006
-0.0028,-0.0022,3.5836,0.4444,0.0962,0.1000,0.0100,0.0997,-0.0004
-0.0020,-0.0016,3.6832,0.4540,0.0962,0.1000,0.0100,0.0997,-0.0001
-0.0012,-0.0010,3.7827,0.4636,0.0961,0.1000,0.0100,0.0997,0.0000
-0.0007,-0.0006,3.8822,0.4731,0.0961,0.1000,0.0100,0.0997,0.0000
