v, omega, x, y, phi, xr, yr, phir, delta
0.0000,0.0000,0.0000,0.0000,0.0997,0.1000,0.0100,0.0997,0.0022
0.0025,0.0017,0.0995,0.0100,0.0997,0.2000,0.0200,0.0996,0.0018
0.0034,0.0024,0.1990,0.0199,0.0997,0.3000,0.0300,0.0996,0.0016
0.0037,0.0026,0.2985,0.0300,0.0997,0.4000,0.0400,0.0996,0.0014
0.0036,0.0026,0.3980,0.0400,0.0998,0.5000,0.0500,0.0995,0.0012
0.0034,0.0025,0.4975,0.0500,0.0999,0.6000,0.0600,0.0995,0.0011
0.0031,0.0023,0.5970,0.0601,0.0999,0.7000,0.0699,0.0994,0.0009
0.0028,0.0021,0.6965,0.0701,0.1000,0.8000,0.0799,0.0994,0.0008
0.0024,0.0018,0.7960,0.0801,0.1000,0.9000,0.0899,0.0993,0.0006
0.0021,0.0016,0.8955,0.0902,0.1000,1.0000,0.0998,0.0992,0.0005
0.0017,0.0013,0.9950,0.1002,0.1001,1.1000,0.1098,0.0991,0.0003
0.0013,0.0010,1.0945,0.1102,0.1001,1.2000,0.1197,0.0990,0.0001
0.0009,0.0007,1.1940,0.1202,0.1001,1.3000,0.1296,0.0988,-0.0000
0.0004,0.0004,1.2935,0.1303,0.1001,1.4000,0.1395,0.0987,-0.0002
-0.0000,0.0001,1.3930,0.1403,0.1001,1.5000,0.1494,0.0986,-0.0004
-0.0005,-0.0003,1.4925,0.1503,0.1001,1.6000,0.1593,0.0984,-0.0006
-0.0009,-0.0006,1.5920,0.1602,0.1001,1.7000,0.1692,0.0982,-0.0008
-0.0014,-0.0010,1.6915,0.1702,0.1001,1.8000,0.1790,0.0981,-0.0010
-0.0019,-0.0013,1.7910,0.1802,0.1001,1.9000,0.1889,0.0979,-0.0012
-0.0024,-0.0017,1.8905,0.1901,0.1001,2.0000,0.1987,0.0977,-0.0014
-0.0029,-0.0021,1.9900,0.2001,0.1000,2.1000,0.2085,0.0975,-0.0016
-0.0034,-0.0025,2.0895,0.2100,0.1000,2.2000,0.2182,0.0973,-0.0018
-0.0039,-0.0028,2.1890,0.2199,0.0999,2.3000,0.2280,0.0971,-0.0020
-0.0045,-0.0032,2.2885,0.2298,0.0999,2.4000,0.2377,0.0968,-0.0023
-0.0050,-0.0036,2.3880,0.2397,0.0998,2.5000,0.2474,0.0966,-0.0025
-0.0056,-0.0040,2.4875,0.2496,0.0997,2.6000,0.2571,0.0963,-0.0027
-0.0061,-0.0045,2.5870,0.2594,0.0997,2.7000,0.2667,0.0961,-0.0029
-0.0067,-0.0049,2.6865,0.2692,0.0996,2.8000,0.2764,0.0958,-0.0032
-0.0072,-0.0053,2.7861,0.2791,0.0995,2.9000,0.2860,0.0955,-0.0034
-0.0078,-0.0057,2.8856,0.2888,0.0994,3.0000,0.2955,0.0952,-0.0036
-0.0084,-0.0061,2.9851,0.2986,0.0993,3.1000,0.3051,0.0949,-0.0038
-0.0090,-0.0066,3.0846,0.3084,0.0991,3.2000,0.3146,0.0946,-0.0041
-0.0096,-0.0070,3.1842,0.3181,0.0990,3.3000,0.3240,0.0943,-0.0043
-0.0102,-0.0075,3.2837,0.3278,0.0989,3.4000,0.3335,0.0940,-0.0046
-0.0108,-0.0079,3.3832,0.3374,0.0987,3.5000,0.3429,0.0937,-0.0048
-0.0114,-0.0083,3.4827,0.3471,0.0986,3.6000,0.3523,0.0933,-0.0050
-0.0120,-0.0088,3.5823,0.3567,0.0984,3.7000,0.3616,0.0930,-0.0053
-0.0126,-0.0092,3.6818,0.3663,0.0982,3.8000,0.3709,0.0926,-0.0055
-0.0132,-0.0097,3.7814,0.3758,0.0980,3.9000,0.3802,0.0922,-0.0058
-0.0138,-0.0102,3.8809,0.3854,0.0978,4.0000,0.3894,0.0918,-0.0060
-0.0145,-0.0106,3.9805,0.3948,0.0976,4.1000,0.3986,0.0915,-0.0063
-0.0151,-0.0111,4.0800,0.4043,0.0974,4.2000,0.4078,0.0911,-0.0065
-0.0157,-0.0115,4.1796,0.4137,0.0972,4.3000,0.4169,0.0906,-0.0068
-0.0163,-0.0120,4.2791,0.4231,0.0970,4.4000,0.4259,0.0902,-0.0070
-0.0170,-0.0125,4.3787,0.4325,0.0967,4.5000,0.4350,0.0898,-0.0073
-0.0176,-0.0129,4.4783,0.4418,0.0965,4.6000,0.4439,0.0894,-0.0075
-0.0182,-0.0134,4.5778,0.4511,0.0962,4.7000,0.4529,0.0889,-0.0078
-0.0189,-0.0139,4.6774,0.4603,0.0959,4.8000,0.4618,0.0885,-0.0080
-0.0195,-0.0144,4.7770,0.4695,0.0957,4.9000,0.4706,0.0880,-0.0083
-0.0201,-0.0148,4.8766,0.4787,0.0954,5.0000,0.4794,0.0875,-0.0085
-0.0208,-0.0153,4.9761,0.4878,0.0951,5.1000,0.4882,0.0871,-0.0088
-0.0214,-0.0158,5.0757,0.4969,0.0948,5.2000,0.4969,0.0866,-0.0091
-0.0221,-0.0162,5.1753,0.5059,0.0945,5.3000,0.5055,0.0861,-0.0093
-0.0227,-0.0167,5.2749,0.5149,0.0941,5.4000,0.5141,0.0856,-0.0096
-0.0233,-0.0172,5.3745,0.5239,0.0938,5.5000,0.5227,0.0850,-0.0098
-0.0240,-0.0177,5.4741,0.5328,0.0935,5.6000,0.5312,0.0845,-0.0101
-0.0246,-0.0181,5.5737,0.5416,0.0931,5.7000,0.5396,0.0840,-0.0103
-0.0252,-0.0186,5.6733,0.5504,0.0927,5.8000,0.5480,0.0835,-0.0106
-0.0259,-0.0191,5.7730,0.5592,0.0924,5.9000,0.5564,0.0829,-0.0108
-0.0265,-0.0196,5.8726,0.5679,0.0920,6.0000,0.5646,0.0823,-0.0111
-0.0272,-0.0200,5.9722,0.5766,0.0916,6.1000,0.5729,0.0818,-0.0113
-0.0278,-0.0205,6.0718,0.5852,0.0912,6.2000,0.5810,0.0812,-0.0116
-0.0284,-0.0210,6.1715,0.5937,0.0908,6.3000,0.5891,0.0806,-0.0118
-0.0291,-0.0214,6.2711,0.6022,0.0904,6.4000,0.5972,0.0800,-0.0121
-0.0297,-0.0219,6.3707,0.6107,0.0899,6.5000,0.6052,0.0794,-0.0123
-0.0303,-0.0224,6.4704,0.6191,0.0895,6.6000,0.6131,0.0788,-0.0126
-0.0309,-0.0228,6.5701,0.6274,0.0891,6.7000,0.6210,0.0782,-0.0128
-0.0316,-0.0233,6.6697,0.6357,0.0886,6.8000,0.6288,0.0776,-0.0131
-0.0322,-0.0237,6.7694,0.6439,0.0881,6.9000,0.6365,0.0770,-0.0133
-0.0328,-0.0242,6.8690,0.6521,0.0877,7.0000,0.6442,0.0763,-0.0135
-0.0334,-0.0247,6.9687,0.6602,0.0872,7.1000,0.6518,0.0757,-0.0138
-0.0340,-0.0251,7.0684,0.6682,0.0867,7.2000,0.6594,0.0750,-0.0140
-0.0346,-0.0256,7.1681,0.6762,0.0862,7.3000,0.6669,0.0744,-0.0143
-0.0352,-0.0260,7.2678,0.6841,0.0857,7.4000,0.6743,0.0737,-0.0145
-0.0358,-0.0265,7.3675,0.6920,0.0852,7.5000,0.6816,0.0730,-0.0147
-0.0364,-0.0269,7.4672,0.6997,0.0846,7.6000,0.6889,0.0724,-0.0150
-0.0370,-0.0274,7.5669,0.7075,0.0841,7.7000,0.6961,0.0717,-0.0152
-0.0376,-0.0278,7.6666,0.7151,0.0835,7.8000,0.7033,0.0710,-0.0154
-0.0382,-0.0282,7.7663,0.7227,0.0830,7.9000,0.7104,0.0703,-0.0157
-0.0388,-0.0287,7.8660,0.7303,0.0824,8.0000,0.7174,0.0696,-0.0159
-0.0394,-0.0291,7.9657,0.7377,0.0818,8.1000,0.7243,0.0688,-0.0161
-0.0400,-0.0295,8.0655,0.7451,0.0813,8.2000,0.7311,0.0681,-0.0164
-0.0406,-0.0300,8.1652,0.7524,0.0807,8.3000,0.7379,0.0674,-0.0166
-0.0411,-0.0304,8.2649,0.7597,0.0801,8.4000,0.7446,0.0666,-0.0168
-0.0417,-0.0308,8.3647,0.7668,0.0795,8.5000,0.7513,0.0659,-0.0170
-0.0423,-0.0312,8.4644,0.7740,0.0788,8.6000,0.7578,0.0652,-0.0173
-0.0428,-0.0317,8.5642,0.7810,0.0782,8.7000,0.7643,0.0644,-0.0175
-0.0434,-0.0321,8.6639,0.7879,0.0776,8.8000,0.7707,0.0636,-0.0177
-0.0440,-0.0325,8.7637,0.7948,0.0769,8.9000,0.7771,0.0629,-0.0179
-0.0445,-0.0329,8.8635,0.8016,0.0763,9.0000,0.7833,0.0621,-0.0181
-0.0451,-0.0333,8.9633,0.8084,0.0756,9.1000,0.7895,0.0613,-0.0183
-0.0456,-0.0337,9.0630,0.8150,0.0750,9.2000,0.7956,0.0605,-0.0185
-0.0461,-0.0341,9.1628,0.8216,0.0743,9.3000,0.8016,0.0597,-0.0188
-0.0467,-0.0345,9.2626,0.8281,0.0736,9.4000,0.8076,0.0589,-0.0190
-0.0472,-0.0349,9.3624,0.8345,0.0729,9.5000,0.8134,0.0581,-0.0192
-0.0477,-0.0353,9.4622,0.8409,0.0722,9.6000,0.8192,0.0573,-0.0194
-0.0482,-0.0356,9.5620,0.8472,0.0715,9.7000,0.8249,0.0565,-0.0196
-0.0487,-0.0360,9.6618,0.8533,0.0708,9.8000,0.8305,0.0556,-0.0198
-0.0493,-0.0364,9.7617,0.8594,0.0701,9.9000,0.8360,0.0548,-0.0200
-0.0498,-0.0368,9.8615,0.8655,0.0694,10.0000,0.8415,0.0540,-0.0202
-0.0503,-0.0371,9.9613,0.8714,0.0686,10.1000,0.8468,0.0531,-0.0203
