v, omega, x, y, phi, xr, yr, phir, delta
0.2150,-0.3577,0.0000,0.1481,0.1298,0.0000,0.0000,0.0000,-0.2003
-0.1091,-0.3403,0.0986,0.1654,0.1226,0.0000,0.0000,0.0000,-0.1768
-0.2610,-0.3242,0.1981,0.1754,0.1158,0.0000,0.0000,0.0000,-0.1606
-0.3261,-0.3083,0.2981,0.1818,0.1094,0.0000,0.0000,0.0000,-0.1493
-0.3491,-0.2932,0.3982,0.1862,0.1032,0.0000,0.0000,0.0000,-0.1409
-0.3522,-0.2794,0.4984,0.1896,0.0973,0.0000,0.0000,0.0000,-0.1340
-0.3461,-0.2667,0.5986,0.1923,0.0917,0.0000,0.0000,0.0000,-0.1280
-0.3358,-0.2550,0.6988,0.1946,0.0864,0.0000,0.0000,0.0000,-0.1225
-0.3239,-0.2440,0.7990,0.1965,0.0813,0.0000,0.0000,0.0000,-0.1173
-0.3115,-0.2337,0.8992,0.1982,0.0764,0.0000,0.0000,0.0000,-0.1123
-0.2991,-0.2239,0.9994,0.1996,0.0717,0.0000,0.0000,0.0000,-0.1076
-0.2869,-0.2145,1.0995,0.2008,0.0673,0.0000,0.0000,0.0000,-0.1031
-0.2750,-0.2055,1.1997,0.2018,0.0630,0.0000,0.0000,0.0000,-0.0987
-0.2635,-0.1969,1.2998,0.2026,0.0589,0.0000,0.0000,0.0000,-0.0945
-0.2524,-0.1886,1.4000,0.2032,0.0549,0.0000,0.0000,0.0000,-0.0905
-0.2417,-0.1806,1.5001,0.2037,0.0512,0.0000,0.0000,0.0000,-0.0866
-0.2314,-0.1729,1.6002,0.2039,0.0475,0.0000,0.0000,0.0000,-0.0828
-0.2215,-0.1654,1.7003,0.2041,0.0441,0.0000,0.0000,0.0000,-0.0792
-0.2119,-0.1583,1.8004,0.2041,0.0408,0.0000,0.0000,0.0000,-0.0758
-0.2027,-0.1514,1.9005,0.2039,0.0376,0.0000,0.0000,0.0000,-0.0724
-0.1938,-0.1448,2.0006,0.2036,0.0346,0.0000,0.0000,0.0000,-0.0692
-0.1852,-0.1384,2.1007,0.2032,0.0317,0.0000,0.0000,0.0000,-0.0661
-0.1770,-0.1323,2.2007,0.2027,0.0289,0.0000,0.0000,0.0000,-0.0631
-0.1691,-0.1263,2.3008,0.2020,0.0263,0.0000,0.0000,0.0000,-0.0602
-0.1614,-0.1206,2.4009,0.2013,0.0238,0.0000,0.0000,0.0000,-0.0574
-0.1541,-0.1152,2.5009,0.2004,0.0213,0.0000,0.0000,0.0000,-0.0547
-0.1470,-0.1099,2.6009,0.1995,0.0190,0.0000,0.0000,0.0000,-0.0522
-0.1402,-0.1048,2.7010,0.1984,0.0168,0.0000,0.0000,0.0000,-0.0497
-0.1336,-0.0999,2.8010,0.1973,0.0147,0.0000,0.0000,0.0000,-0.0473
-0.1273,-0.0952,2.9010,0.1961,0.0127,0.0000,0.0000,0.0000,-0.0450
-0.1212,-0.0907,3.0011,0.1948,0.0108,0.0000,0.0000,0.0000,-0.0428
-0.1154,-0.0863,3.1011,0.1935,0.0090,0.0000,0.0000,0.0000,-0.0407
-0.1098,-0.0821,3.2011,0.1921,0.0073,0.0000,0.0000,0.0000,-0.0387
-0.1044,-0.0781,3.3011,0.1906,0.0057,0.0000,0.0000,0.0000,-0.0367
-0.0992,-0.0742,3.4011,0.1891,0.0041,0.0000,0.0000,0.0000,-0.0349
-0.0942,-0.0705,3.5011,0.1875,0.0026,0.0000,0.0000,0.0000,-0.0330
-0.0894,-0.0669,3.6011,0.1859,0.0012,0.0000,0.0000,0.0000,-0.0313
-0.0848,-0.0634,3.7011,0.1842,-0.0001,0.0000,0.0000,0.0000,-0.0296
-0.0803,-0.0601,3.8011,0.1825,-0.0014,0.0000,0.0000,0.0000,-0.0280
-0.0761,-0.0569,3.9011,0.1808,-0.0026,0.0000,0.0000,0.0000,-0.0265
